,Unnamed: 0,filepaths,pipelines,groups,contrast
0,0,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,1000,right-foot
1,1,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,1000,right-foot
12,12,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-foot_spm-5-0-0_con.nii,spm-5-0-0,1000,right-foot
13,13,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_right-foot_spm-5-0-1_con.nii,spm-5-0-1,1000,right-foot
24,24,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,100,right-foot
25,25,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,100,right-foot
36,36,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-foot_spm-5-0-0_con.nii,spm-5-0-0,100,right-foot
37,37,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_right-foot_spm-5-0-1_con.nii,spm-5-0-1,100,right-foot
48,48,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,101,right-foot
49,49,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,101,right-foot
60,60,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-foot_spm-5-0-0_con.nii,spm-5-0-0,101,right-foot
61,61,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_right-foot_spm-5-0-1_con.nii,spm-5-0-1,101,right-foot
72,72,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,102,right-foot
73,73,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,102,right-foot
84,84,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-foot_spm-5-0-0_con.nii,spm-5-0-0,102,right-foot
85,85,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_right-foot_spm-5-0-1_con.nii,spm-5-0-1,102,right-foot
96,96,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,103,right-foot
