,Unnamed: 0,filepaths,pipelines,groups,contrast
0,0,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,1000,left-hand
1,1,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,1000,left-hand
12,12,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_left-hand_spm-5-0-0_con.nii,spm-5-0-0,1000,left-hand
13,13,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-1000_left-hand_spm-5-0-1_con.nii,spm-5-0-1,1000,left-hand
24,24,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,100,left-hand
25,25,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,100,left-hand
36,36,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_left-hand_spm-5-0-0_con.nii,spm-5-0-0,100,left-hand
37,37,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-100_left-hand_spm-5-0-1_con.nii,spm-5-0-1,100,left-hand
48,48,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,101,left-hand
49,49,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,101,left-hand
60,60,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_left-hand_spm-5-0-0_con.nii,spm-5-0-0,101,left-hand
61,61,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-101_left-hand_spm-5-0-1_con.nii,spm-5-0-1,101,left-hand
72,72,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,102,left-hand
73,73,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,102,left-hand
84,84,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_left-hand_spm-5-0-0_con.nii,spm-5-0-0,102,left-hand
85,85,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-102_left-hand_spm-5-0-1_con.nii,spm-5-0-1,102,left-hand
96,96,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,103,left-hand
97,97,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,103,left-hand
108,108,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_left-hand_spm-5-0-0_con.nii,spm-5-0-0,103,left-hand
109,109,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_left-hand_spm-5-0-1_con.nii,spm-5-0-1,103,left-hand
120,120,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,104,left-hand
121,121,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,104,left-hand
132,132,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_left-hand_spm-5-0-0_con.nii,spm-5-0-0,104,left-hand
133,133,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_left-hand_spm-5-0-1_con.nii,spm-5-0-1,104,left-hand
144,144,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,105,left-hand
145,145,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,105,left-hand
156,156,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_left-hand_spm-5-0-0_con.nii,spm-5-0-0,105,left-hand
157,157,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_left-hand_spm-5-0-1_con.nii,spm-5-0-1,105,left-hand
168,168,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,106,left-hand
169,169,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,106,left-hand
180,180,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_left-hand_spm-5-0-0_con.nii,spm-5-0-0,106,left-hand
181,181,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_left-hand_spm-5-0-1_con.nii,spm-5-0-1,106,left-hand
192,192,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,107,left-hand
193,193,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,107,left-hand
204,204,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_left-hand_spm-5-0-0_con.nii,spm-5-0-0,107,left-hand
205,205,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_left-hand_spm-5-0-1_con.nii,spm-5-0-1,107,left-hand
216,216,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,108,left-hand
217,217,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,108,left-hand
228,228,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_left-hand_spm-5-0-0_con.nii,spm-5-0-0,108,left-hand
229,229,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_left-hand_spm-5-0-1_con.nii,spm-5-0-1,108,left-hand
240,240,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,109,left-hand
241,241,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,109,left-hand
252,252,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_left-hand_spm-5-0-0_con.nii,spm-5-0-0,109,left-hand
253,253,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_left-hand_spm-5-0-1_con.nii,spm-5-0-1,109,left-hand
264,264,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,10,left-hand
265,265,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,10,left-hand
276,276,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_left-hand_spm-5-0-0_con.nii,spm-5-0-0,10,left-hand
277,277,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_left-hand_spm-5-0-1_con.nii,spm-5-0-1,10,left-hand
288,312,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,111,left-hand
289,313,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,111,left-hand
300,324,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_left-hand_spm-5-0-0_con.nii,spm-5-0-0,111,left-hand
301,325,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_left-hand_spm-5-0-1_con.nii,spm-5-0-1,111,left-hand
312,408,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,115,left-hand
313,409,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,115,left-hand
324,420,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_left-hand_spm-5-0-0_con.nii,spm-5-0-0,115,left-hand
325,421,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_left-hand_spm-5-0-1_con.nii,spm-5-0-1,115,left-hand
336,432,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,116,left-hand
337,433,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,116,left-hand
348,444,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_left-hand_spm-5-0-0_con.nii,spm-5-0-0,116,left-hand
349,445,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_left-hand_spm-5-0-1_con.nii,spm-5-0-1,116,left-hand
360,456,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,117,left-hand
361,457,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,117,left-hand
372,468,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_left-hand_spm-5-0-0_con.nii,spm-5-0-0,117,left-hand
373,469,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_left-hand_spm-5-0-1_con.nii,spm-5-0-1,117,left-hand
384,528,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,11,left-hand
385,529,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,11,left-hand
396,540,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_left-hand_spm-5-0-0_con.nii,spm-5-0-0,11,left-hand
397,541,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_left-hand_spm-5-0-1_con.nii,spm-5-0-1,11,left-hand
408,552,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,120,left-hand
409,553,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,120,left-hand
420,564,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_left-hand_spm-5-0-0_con.nii,spm-5-0-0,120,left-hand
421,565,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_left-hand_spm-5-0-1_con.nii,spm-5-0-1,120,left-hand
432,576,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,121,left-hand
433,577,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,121,left-hand
444,588,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_left-hand_spm-5-0-0_con.nii,spm-5-0-0,121,left-hand
445,589,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_left-hand_spm-5-0-1_con.nii,spm-5-0-1,121,left-hand
456,624,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,123,left-hand
457,625,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,123,left-hand
468,636,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_left-hand_spm-5-0-0_con.nii,spm-5-0-0,123,left-hand
469,637,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_left-hand_spm-5-0-1_con.nii,spm-5-0-1,123,left-hand
480,648,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,124,left-hand
481,649,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,124,left-hand
492,660,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_left-hand_spm-5-0-0_con.nii,spm-5-0-0,124,left-hand
493,661,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_left-hand_spm-5-0-1_con.nii,spm-5-0-1,124,left-hand
504,672,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,125,left-hand
505,673,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,125,left-hand
516,684,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_left-hand_spm-5-0-0_con.nii,spm-5-0-0,125,left-hand
517,685,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_left-hand_spm-5-0-1_con.nii,spm-5-0-1,125,left-hand
528,696,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,126,left-hand
529,697,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,126,left-hand
540,708,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_left-hand_spm-5-0-0_con.nii,spm-5-0-0,126,left-hand
541,709,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_left-hand_spm-5-0-1_con.nii,spm-5-0-1,126,left-hand
552,720,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,127,left-hand
553,721,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,127,left-hand
564,732,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_left-hand_spm-5-0-0_con.nii,spm-5-0-0,127,left-hand
565,733,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_left-hand_spm-5-0-1_con.nii,spm-5-0-1,127,left-hand
576,816,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,130,left-hand
577,817,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,130,left-hand
588,828,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_left-hand_spm-5-0-0_con.nii,spm-5-0-0,130,left-hand
589,829,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_left-hand_spm-5-0-1_con.nii,spm-5-0-1,130,left-hand
600,840,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,131,left-hand
601,841,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,131,left-hand
612,852,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_left-hand_spm-5-0-0_con.nii,spm-5-0-0,131,left-hand
613,853,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_left-hand_spm-5-0-1_con.nii,spm-5-0-1,131,left-hand
624,864,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,132,left-hand
625,865,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,132,left-hand
636,876,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_left-hand_spm-5-0-0_con.nii,spm-5-0-0,132,left-hand
637,877,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_left-hand_spm-5-0-1_con.nii,spm-5-0-1,132,left-hand
648,888,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,133,left-hand
649,889,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_left-hand_fsl-5-0-1_con.nii,fsl-5-0-1,133,left-hand
660,900,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_left-hand_spm-5-0-0_con.nii,spm-5-0-0,133,left-hand
661,901,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_left-hand_spm-5-0-1_con.nii,spm-5-0-1,133,left-hand
672,912,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_left-hand_fsl-5-0-0_con.nii,fsl-5-0-0,134,left-hand
